asset_id,asset_number,asset_name,asset_class,city,zone,investment_profile,valuation_date,last_visit_date,fair_value_eur,fair_value_eur_mn,vlm_range_eur_sqm_year,vlm_min_eur_sqm_year,vlm_max_eur_sqm_year,vacancy_months_range,vacancy_min_months,vacancy_max_months,cap_rate_range_pct,yield_min_pct,yield_max_pct,yield_mid_pct,yield_precision,yield_source,generated_at_utc
scbsm_2024_01,1,Cathédrale,Office,Paris,Paris,Core Paris,2024-06-30,2016-01-28,77400000.0,77.4,€ 551 à € 819,551.0,819.0,6 à 19,6.0,19.0,"2,75 % à 6,75 %",2.75,6.75,4.75,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_02,2,Prony / Jadin,Office,Paris,Paris,Core Paris,2023-12-31,2024-02-29,16000000.0,16.0,€ 551 à € 819,551.0,819.0,6 à 19,6.0,19.0,"2,75 % à 6,75 %",2.75,6.75,4.75,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_03,3,Réaumur,Office,Paris,Paris,Core Paris,2023-12-31,2016-01-28,28800000.0,28.8,€ 551 à € 819,551.0,819.0,6 à 19,6.0,19.0,"2,75 % à 6,75 %",2.75,6.75,4.75,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_04,4,Poissonnière,Office,Paris,Paris,Core Paris,2024-06-30,2023-08-21,121300000.0,121.3,€ 551 à € 819,551.0,819.0,6 à 19,6.0,19.0,"2,75 % à 6,75 %",2.75,6.75,4.75,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_05,5,47 Ponthieu,Office,Paris,Paris,Core Paris,2023-12-31,2018-07-19,28500000.0,28.5,€ 551 à € 819,551.0,819.0,6 à 19,6.0,19.0,"2,75 % à 6,75 %",2.75,6.75,4.75,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_06,6,30 Gramont – SNC 2-6-7,Office,Paris,Paris,Core Paris,2023-12-31,2023-07-17,26300000.0,26.3,€ 551 à € 819,551.0,819.0,6 à 19,6.0,19.0,"2,75 % à 6,75 %",2.75,6.75,4.75,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_07,7,30 Gramont – SNC 1&3,Office,Paris,Paris,Core Paris,2023-12-31,2021-07-15,20300000.0,20.3,€ 551 à € 819,551.0,819.0,6 à 19,6.0,19.0,"2,75 % à 6,75 %",2.75,6.75,4.75,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_08,8,9 Opéra,Office,Paris,Paris,Core Paris,2024-06-30,2022-02-01,40500000.0,40.5,€ 551 à € 819,551.0,819.0,6 à 19,6.0,19.0,"2,75 % à 6,75 %",2.75,6.75,4.75,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_09,9,37 Capucines,Office,Paris,Paris,Core Paris,2023-12-31,2023-08-01,10200000.0,10.2,€ 551 à € 819,551.0,819.0,6 à 19,6.0,19.0,"2,75 % à 6,75 %",2.75,6.75,4.75,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_10,10,PBM Buchelay,Mixed Commercial,Buchelay,IDF,Ile-de-France value-add,2023-12-31,2008-07-02,9150000.0,9.15,€ 90 à € 149,90.0,149.0,6 à 15,6.0,15.0,"6,25 % à 10,00 %",6.25,10.0,8.125,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_11,11,Elysée Village - Retail Mall,Retail,La Celle Saint Cloud,IDF,Ile-de-France value-add,2023-12-31,2009-06-15,13500000.0,13.5,€ 90 à € 149,90.0,149.0,6 à 15,6.0,15.0,"6,25 % à 10,00 %",6.25,10.0,8.125,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_12,12,Elysée Village - Bureaux,Office,La Celle Saint Cloud,IDF,Ile-de-France value-add,2023-12-31,2009-06-15,1100000.0,1.1,€ 90 à € 149,90.0,149.0,6 à 15,6.0,15.0,"6,25 % à 10,00 %",6.25,10.0,8.125,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_13,13,Les Franciades,Retail,Massy,IDF,Ile-de-France value-add,2023-12-31,2011-05-30,6900000.0,6.9,€ 90 à € 149,90.0,149.0,6 à 15,6.0,15.0,"6,25 % à 10,00 %",6.25,10.0,8.125,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_14,14,Luats,Mixed Commercial,Villiers-sur-Marne,IDF,Ile-de-France value-add,2023-12-31,2008-07-02,1750000.0,1.75,€ 90 à € 149,90.0,149.0,6 à 15,6.0,15.0,"6,25 % à 10,00 %",6.25,10.0,8.125,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_15,15,PBM Soyaux,Mixed Commercial,Soyaux,Province,Regional high-yield,2023-12-31,2016-01-05,8000000.0,8.0,€ 24 à € 110,24.0,110.0,15 à 24,15.0,24.0,"7,90 % à 9,75 %",7.9,9.75,8.825,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_16,16,PBM Sillé,Mixed Commercial,Sillé le Guillaume,Province,Regional high-yield,2023-12-31,2008-07-07,500000.0,0.5,€ 24 à € 110,24.0,110.0,15 à 24,15.0,24.0,"7,90 % à 9,75 %",7.9,9.75,8.825,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_17,17,Epernay,Mixed Commercial,Epernay,Province,Regional high-yield,2023-12-31,2008-07-03,760000.0,0.76,€ 24 à € 110,24.0,110.0,15 à 24,15.0,24.0,"7,90 % à 9,75 %",7.9,9.75,8.825,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
scbsm_2024_18,18,Graham Bell,Mixed Commercial,Metz,Province,Regional high-yield,2023-12-31,2008-07-07,450000.0,0.45,€ 24 à € 110,24.0,110.0,15 à 24,15.0,24.0,"7,90 % à 9,75 %",7.9,9.75,8.825,zone_range,SCBSM URD 2024 table_135 zone-level capitalisation range,2026-04-20T10:08:46.641403+00:00
